Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
underline,18,11,16,9,0.35,0.13,1.2788,1.0792
underlined,33,28,33,28,0.65,0.33,1.5315,1.4624
underlines,4,4,4,4,0.08,0.05,0.6990,0.6990
underling,8,8,8,8,0.16,0.10,0.9542,0.9542
underlings,14,13,13,13,0.27,0.15,1.1761,1.1461
underlining,5,4,5,4,0.10,0.05,0.7782,0.6990
underlit,2,1,2,1,0.04,0.01,0.4771,0.3010
underlying,64,56,62,54,1.25,0.67,1.8129,1.7559
undermanned,3,3,3,3,0.06,0.04,0.6021,0.6021
undermine,74,69,72,68,1.45,0.82,1.8751,1.8451
undermined,14,14,14,14,0.27,0.17,1.1761,1.1761
undermines,21,21,21,21,0.41,0.25,1.3424,1.3424
undermining,32,32,30,30,0.63,0.38,1.5185,1.5185
underneath,829,692,726,623,16.25,8.25,2.9191,2.8407
undernourished,6,6,6,6,0.12,0.07,0.8451,0.8451
underpaid,26,24,21,20,0.51,0.29,1.4314,1.3979
underpants,150,102,130,92,2.94,1.22,2.1790,2.0128
underpass,13,10,13,10,0.25,0.12,1.1461,1.0414
underpay,3,3,3,3,0.06,0.04,0.6021,0.6021
underpaying,2,2,2,2,0.04,0.02,0.4771,0.4771
underpinning,3,3,3,3,0.06,0.04,0.6021,0.6021
underpinnings,3,3,3,3,0.06,0.04,0.6021,0.6021
underplaying,3,3,3,3,0.06,0.04,0.6021,0.6021
underpowered,3,3,3,3,0.06,0.04,0.6021,0.6021
underprepared,3,3,3,3,0.06,0.04,0.6021,0.6021
underprivileged,37,28,36,28,0.73,0.33,1.5798,1.4624
underqualified,2,2,2,2,0.04,0.02,0.4771,0.4771
underrate,11,11,11,11,0.22,0.13,1.0792,1.0792
underrated,29,27,29,27,0.57,0.32,1.4771,1.4472
underrating,2,2,2,2,0.04,0.02,0.4771,0.4771
underscore,3,3,3,3,0.06,0.04,0.6021,0.6021
underscores,8,8,8,8,0.16,0.10,0.9542,0.9542
underscoring,2,2,2,2,0.04,0.02,0.4771,0.4771
undersea,40,19,30,17,0.78,0.23,1.6128,1.3010
Undersecretaries,4,3,1,1,0.08,0.04,0.6990,0.6021
Undersecretary,22,13,6,5,0.43,0.15,1.3617,1.1461
undersell,2,2,2,2,0.04,0.02,0.4771,0.4771
undersexed,3,3,3,3,0.06,0.04,0.6021,0.6021
undersheriff,3,1,3,1,0.06,0.01,0.6021,0.3010
undershirt,15,14,15,14,0.29,0.17,1.2041,1.1761
undershirts,5,5,5,5,0.10,0.06,0.7782,0.7782
undershoot,2,2,2,2,0.04,0.02,0.4771,0.4771
undershorts,6,6,6,6,0.12,0.07,0.8451,0.8451
underside,12,12,12,12,0.24,0.14,1.1139,1.1139
undersides,2,1,2,1,0.04,0.01,0.4771,0.3010
undersigned,5,5,5,5,0.10,0.06,0.7782,0.7782
undersized,4,4,4,4,0.08,0.05,0.6990,0.6990
undersold,4,4,4,4,0.08,0.05,0.6990,0.6990
understaffed,22,21,22,21,0.43,0.25,1.3617,1.3424
understand,24605,6811,23680,6763,482.45,81.20,4.3910,3.8333
understandable,201,187,177,169,3.94,2.23,2.3054,2.2742
understandably,27,27,20,20,0.53,0.32,1.4472,1.4472
understanding,1117,895,1087,879,21.90,10.67,3.0484,2.9523
understandings,5,4,5,4,0.10,0.05,0.7782,0.6990
understands,549,494,545,493,10.76,5.89,2.7404,2.6946
understate,5,5,5,5,0.10,0.06,0.7782,0.7782
understated,27,22,26,22,0.53,0.26,1.4472,1.3617
understatement,88,85,84,81,1.73,1.01,1.9494,1.9345
understeer,2,1,2,1,0.04,0.01,0.4771,0.3010
understood,1639,1197,1207,953,32.14,14.27,3.2148,3.0785
understudies,4,4,4,4,0.08,0.05,0.6990,0.6990
understudy,98,47,95,47,1.92,0.56,1.9956,1.6812
understudying,2,2,2,2,0.04,0.02,0.4771,0.4771
undertake,52,48,52,48,1.02,0.57,1.7243,1.6902
undertaken,30,27,30,27,0.59,0.32,1.4914,1.4472
undertaker,78,66,76,64,1.53,0.79,1.8976,1.8261
undertakers,11,11,11,11,0.22,0.13,1.0792,1.0792
undertaking,40,36,40,36,0.78,0.43,1.6128,1.5682
underthings,6,6,6,6,0.12,0.07,0.8451,0.8451
undertones,3,3,3,3,0.06,0.04,0.6021,0.6021
undertook,11,11,11,11,0.22,0.13,1.0792,1.0792
undertow,27,16,20,13,0.53,0.19,1.4472,1.2304
underutilised,2,1,2,1,0.04,0.01,0.4771,0.3010
undervalued,6,6,6,6,0.12,0.07,0.8451,0.8451
Underverse,13,1,0,0,0.25,0.01,1.1461,0.3010
underwater,323,214,295,203,6.33,2.55,2.5105,2.3324
underway,148,128,145,127,2.90,1.53,2.1732,2.1106
underwear,1105,754,1063,734,21.67,8.99,3.0438,2.8779
underweight,11,10,11,10,0.22,0.12,1.0792,1.0414
underwent,21,19,21,19,0.41,0.23,1.3424,1.3010
underwhelmed,5,4,4,3,0.10,0.05,0.7782,0.6990
underwhelming,5,5,4,4,0.10,0.06,0.7782,0.7782
Underwood,41,10,0,0,0.80,0.12,1.6232,1.0414
underworld,181,123,159,114,3.55,1.47,2.2601,2.0934
underwrite,11,11,11,11,0.22,0.13,1.0792,1.0792
underwriter,4,4,4,4,0.08,0.05,0.6990,0.6990
underwriters,17,11,14,8,0.33,0.13,1.2553,1.0792
underwriting,8,7,7,6,0.16,0.08,0.9542,0.9031
underwritten,2,2,2,2,0.04,0.02,0.4771,0.4771
undeserved,7,7,7,7,0.14,0.08,0.9031,0.9031
undeserving,9,9,9,9,0.18,0.11,1.0000,1.0000
undesirable,33,30,30,28,0.65,0.36,1.5315,1.4914
undesirables,13,12,12,12,0.25,0.14,1.1461,1.1139
undetectable,29,27,27,26,0.57,0.32,1.4771,1.4472
undetected,57,50,55,48,1.12,0.60,1.7634,1.7076
undetermined,22,20,20,18,0.43,0.24,1.3617,1.3222
undeterred,4,4,3,3,0.08,0.05,0.6990,0.6990
undeveloped,14,14,13,13,0.27,0.17,1.1761,1.1761
undiagnosed,7,7,7,7,0.14,0.08,0.9031,0.9031
undid,13,12,13,12,0.25,0.14,1.1461,1.1139
undies,48,41,46,39,0.94,0.49,1.6902,1.6232
undigested,9,9,8,8,0.18,0.11,1.0000,1.0000
undignified,30,28,29,27,0.59,0.33,1.4914,1.4624
undiluted,8,8,7,7,0.16,0.10,0.9542,0.9542
